,Week_ending,Uid code,Brand new,Size short,Diet dummy,Container,quantity,amount,ND,Sale,PoS
142,201503,14,Syeda,350ml,0,PET,15853,1507007.0,0.505263158,95.06131331609159,0.003148121155699841
143,201503,15,Syeda,350ml,1,PET,122473,13255882.0,0.905263158,108.23513754051913,0.02432093876881515
144,201503,16,Orangina,350ml,0,Can,4776,209644.0,0.042105263,43.89530988274707,0.0009484278458097798
145,201503,17,Ito,350ml,0,Can,238,13452.0,0.073684211,56.52100840336134,4.726252665467496e-05
146,201503,19,Calpis,350ml,0,Can,2342,118864.0,0.052631579,50.753202391118705,0.000465079148845583
147,201503,20,Cc,350ml,0,Can,1655,85498.0,0.073684211,51.66042296072508,0.0003286532840902818
148,201503,22,Pepsi,350ml,0,Can,54,3758.0,0.021052632,69.5925925925926,1.0723430417447259e-05
149,201503,23,Pepsi,350ml,1,Can,342,13646.0,0.021052632,39.900584795321635,6.79150593104993e-05
150,201503,24,Sun L.,350ml,1,Can,124,13770.0,0.010526316,111.04838709677419,2.4624173551175188e-05
151,201503,25,Coca,350ml,0,Can,16843,1069819.0,0.315789474,63.51712877753369,0.003344717380019707
152,201503,26,Fanta,350ml,0,Can,6010,336290.0,0.231578947,55.955074875207984,0.0011934780890529265
153,201503,28,Coca,350ml,1,Can,1233,78662.0,0.147368421,63.79724249797243,0.0002448516611983791
154,201503,29,Mets,350ml,0,Can,7042,310426.0,0.052631579,44.08207895484237,0.0013984147592530298
155,201503,32,Other,450ml,0,PET,48087,4149186.0,0.284210526,86.28498346746522,0.009549214786736785
156,201503,34,Other,450ml,0,Glass,16,2874.0,0.010526316,179.625,3.1773127162806695e-06
157,201503,36,Orangina,450ml,0,PET,522461,42852093.0,1.0,82.01969716399884,0.10375137369129468
158,201503,44,Other,500ml,0,Can,1070,88926.0,0.010526316,83.10841121495326,0.00021248278790126978
159,201503,45,Other,500ml,0,PET,11002,933006.0,0.189473684,84.80330848936558,0.0021847996565324953
160,201503,46,Other,500ml,1,PET,48392,3465070.0,0.284210526,71.60419077533477,0.009609782310390886
161,201503,47,Other,500ml,0,Bottle_Can,410,40396.0,0.031578947,98.52682926829269,8.141863835469216e-05
162,201503,48,Other,500ml,1,Bottle_Can,658,55146.0,0.010526316,83.80851063829788,0.00013066698545704253
163,201503,49,Syeda,500ml,0,PET,669323,55915282.0,1.0,83.5400576403321,0.1329155299499454
164,201503,50,Syeda,500ml,1,PET,108151,9162193.0,0.736842105,84.71667390962635,0.02147684672365442
165,201503,51,Syeda,500ml,0,Can,1008,68848.0,0.094736842,68.3015873015873,0.00020017070112568217
166,201503,53,Ito,500ml,0,PET,33608,3405717.0,0.663157895,101.33649726255653,0.006673945360547546
167,201503,54,Ito,500ml,0,Can,26,1728.0,0.010526316,66.46153846153847,5.163133163956088e-06
168,201503,56,Calpis,500ml,0,PET,260305,21899574.0,0.715789474,84.13043929236856,0.05169189916321498
169,201503,57,Calpis,500ml,0,Can,186,14782.0,0.031578947,79.47311827956989,3.6936260326762785e-05
170,201503,59,Cc,500ml,0,Can,132,11560.0,0.042105263,87.57575757575758,2.6212829909315524e-05
171,201503,60,Cc,500ml,0,PET,438621,37239684.0,1.0,84.90173521103641,0.08710225505798397
172,201503,61,Cc,500ml,1,PET,12450,1074903.0,0.442105263,86.33759036144578,0.002472346457355896
173,201503,62,Pepsi,500ml,0,Can,134,11106.0,0.010526316,82.88059701492537,2.6609993998850608e-05
174,201503,63,Pepsi,500ml,0,PET,261,22875.0,0.052631579,87.64367816091954,5.182991368432842e-05
175,201503,64,Pepsi,500ml,1,PET,694469,64157631.0,0.989473684,92.3837219515918,0.13790907404767003
176,201503,65,Sun L.,500ml,0,Can,3706,234460.0,0.010526316,63.264975715056664,0.0007359450579085101
177,201503,66,Coca,500ml,0,PET,1058426,88009077.0,1.0,83.15090237768158,0.21018439931513025
178,201503,67,Coca,500ml,0,Can,19275,1476664.0,0.273684211,76.6103242542153,0.0038276689128943693
179,201503,68,Fanta,500ml,0,Can,2768,178794.0,0.210526316,64.59320809248555,0.0005496750999165558
180,201503,69,Fanta,500ml,0,PET,663542,54549612.0,1.0,82.2097350280766,0.13176752714914425
181,201504,0,Other,400ml,0,Can,216,22042.0,0.063157895,102.04629629629629,3.9710846208717265e-05
182,201504,2,Other,400ml,0,Glass,8199,956104.0,0.705263158,116.61226978899866,0.0015073575373392263
183,201504,8,Other,350ml,0,Can,52589,1957455.0,0.463157895,37.221757401738,0.009668304126251075
184,201504,9,Other,350ml,0,Glass,26176,2601849.0,0.842105263,99.39826558679707,0.004812366251663811
185,201504,10,Other,350ml,1,Can,176524,4756921.0,0.421052632,26.947729487208537,0.03245332137105374
186,201504,11,Other,350ml,1,Glass,124,15600.0,0.073684211,125.80645161290323,2.2796967267967318e-05
187,201504,13,Syeda,350ml,0,Can,1064,59160.0,0.073684211,55.6015037593985,0.00019561268687997766
188,201504,14,Syeda,350ml,0,PET,11902,1166170.0,0.463157895,97.98101159468997,0.002188141164704412
189,201504,15,Syeda,350ml,1,PET,127321,13771220.0,0.905263158,108.16141877616418,0.02340752152842635
190,201504,16,Orangina,350ml,0,Can,3307,147318.0,0.042105263,44.54732385848201,0.0006079804093158704
191,201504,17,Ito,350ml,0,Can,238,14238.0,0.063157895,59.8235294117647,4.375546943367921e-05
192,201504,19,Calpis,350ml,0,Can,1132,60258.0,0.073684211,53.23144876325088,0.00020811424957531456
193,201504,20,Cc,350ml,0,Can,8799,438836.0,0.063157895,49.87339470394363,0.001617665443474552
194,201504,22,Pepsi,350ml,0,Can,74,5428.0,0.021052632,73.35135135135135,1.3604641756690174e-05
195,201504,23,Pepsi,350ml,1,Can,228,9352.0,0.021052632,41.01754385964912,4.191700433142378e-05
196,201504,24,Sun L.,350ml,1,Can,166,18582.0,0.010526316,111.93975903614458,3.051852069744012e-05
197,201504,25,Coca,350ml,0,Can,19056,1173613.0,0.294736842,61.587583963056254,0.0035033790988579453
198,201504,26,Fanta,350ml,0,Can,5939,327288.0,0.231578947,55.10826738508166,0.0010918644242294993
199,201504,28,Coca,350ml,1,Can,1168,75433.0,0.147368421,64.58304794520548,0.0002147327239434341
200,201504,29,Mets,350ml,0,Can,3754,176132.0,0.052631579,46.91848694725626,0.000690159799386688
201,201504,32,Other,450ml,0,PET,36202,3147424.0,0.294736842,86.94061101596597,0.006655611363185104
202,201504,34,Other,450ml,0,Glass,8,1438.0,0.010526316,179.75,1.4707720818043431e-06
203,201504,36,Orangina,450ml,0,PET,468273,38376874.0,1.0,81.95406098579248,0.08609035688284565
204,201504,44,Other,500ml,0,Can,1250,103522.0,0.010526316,82.8176,0.00022980813778192863
205,201504,45,Other,500ml,0,PET,13490,1123676.0,0.2,83.29696071163825,0.0024800894229425737
206,201504,46,Other,500ml,1,PET,49489,3528434.0,0.284210526,71.29733880256218,0.009098379944551892
207,201504,47,Other,500ml,0,Bottle_Can,472,46178.0,0.031578947,97.83474576271186,8.677555282645625e-05
208,201504,48,Other,500ml,1,Bottle_Can,696,58194.0,0.010526316,83.61206896551724,0.00012795717111697787
209,201504,49,Syeda,500ml,0,PET,1059439,88734635.0,1.0,83.75624741018596,0.19477416294683894
210,201504,50,Syeda,500ml,1,PET,107721,9116500.0,0.736842105,84.63066625820406,0.019804129928005707
211,201504,51,Syeda,500ml,0,Can,1330,84500.0,0.094736842,63.53383458646616,0.00024451585859997204
212,201504,53,Ito,500ml,0,PET,35747,3594830.0,0.642105263,100.56312417825272,0.006571961201032482
213,201504,54,Ito,500ml,0,Can,20,1360.0,0.010526316,68.0,3.676930204510858e-06
214,201504,56,Calpis,500ml,0,PET,182057,15299671.0,0.736842105,84.03780684071472,0.03347054411213166
215,201504,57,Calpis,500ml,0,Can,212,16842.0,0.031578947,79.44339622641509,3.897546016781509e-05
216,201504,59,Cc,500ml,0,Can,362,23012.0,0.042105263,63.569060773480665,6.655243670164653e-05
217,201504,60,Cc,500ml,0,PET,434583,36488478.0,1.0,83.96204637549098,0.07989656795334711
218,201504,61,Cc,500ml,1,PET,12617,1085040.0,0.442105263,85.99825632083697,0.0023195914195156746
219,201504,62,Pepsi,500ml,0,Can,146,12086.0,0.010526316,82.78082191780823,2.684159049292926e-05
220,201504,63,Pepsi,500ml,0,PET,288,25256.0,0.052631579,87.69444444444444,5.294779494495636e-05
221,201504,64,Pepsi,500ml,1,PET,686700,63207225.0,1.0,92.04488859764089,0.1262473985718803
222,201504,65,Sun L.,500ml,0,Can,2422,158066.0,0.010526316,65.26259289843105,0.0004452762477662649
223,201504,66,Coca,500ml,0,PET,1164404,95598792.0,1.0,82.10105083802529,0.21407161189266305
224,201504,67,Coca,500ml,0,Can,44258,2834382.0,0.273684211,64.04225224818111,0.008136678849562078
225,201504,68,Fanta,500ml,0,Can,4967,295358.0,0.2,59.4640628145762,0.0009131656162902716
226,201504,69,Fanta,500ml,0,PET,684191,55807527.0,1.0,81.56717495553143,0.12578612767772443
227,201505,0,Other,400ml,0,Can,408,39794.0,0.063157895,97.5343137254902,7.793074020068694e-05
228,201505,2,Other,400ml,0,Glass,7157,830818.0,0.631578947,116.08467234874948,0.00136703506768705
229,201505,8,Other,350ml,0,Can,55176,2059934.0,0.473684211,37.333877047991884,0.01053898657184584
230,201505,9,Other,350ml,0,Glass,24465,2484196.0,0.821052632,101.54081340690783,0.004672979311298544
231,201505,10,Other,350ml,1,Can,160209,4399386.0,0.410526316,27.46029249293111,0.030600994992185916
232,201505,11,Other,350ml,1,Glass,103,13281.0,0.084210526,128.94174757281553,1.9673691766349887e-05
233,201505,13,Syeda,350ml,0,Can,1475,73760.0,0.063157895,50.00677966101695,0.00028173490636277754
